sh510880,红利ETF
year,每周定额购买，盈利5%卖出,每周定额购买，盈利6%卖出,每周定额购买，盈利10%卖出,每周定额购买，盈利20%卖出,每周根据当前盈亏比例购买，盈利5%卖出,每周根据当前盈亏比例购买，盈利6%卖出,每周根据当前盈亏比例购买，盈利10%卖出,每周根据当前盈亏比例购买，盈利20%卖出,每周根据深圳指数市盈率倍数购买，超过60倍卖出,每周根据深圳指数市盈率4分位购买，超过50倍卖出,每周根据深圳指数市盈率4分位购买，赚6%卖出,每周根据深圳指数市盈率4分位购买，赚10%卖出,每周根据深圳指数市盈率4分位购买，赚20%卖出
2006,-11.2%,-11.2%,-11.2%,-11.3%,-11.0%,-11.0%,-11.0%,-11.0%,-4.0%,-8.3%,-8.3%,-8.3%,-8.3%,
2007,-59.6%,-60.2%,-61.4%,-65.1%,-56.0%,-56.0%,-56.7%,-58.1%,,-36.2%,-36.2%,-36.2%,-36.2%,
2008,33.7%,41.4%,44.7%,69.6%,32.2%,33.2%,35.8%,54.4%,156.2%,162.8%,33.3%,36.0%,50.1%,
2009,-26.2%,-23.1%,-23.7%,-35.6%,-23.4%,-23.4%,-22.3%,-18.0%,-36.7%,-40.0%,-20.9%,-21.7%,-16.7%,
2010,26.4%,26.4%,27.6%,22.8%,24.6%,24.6%,26.9%,22.0%,18.4%,19.7%,12.5%,15.8%,26.7%,
2011,16.0%,16.6%,16.7%,28.8%,15.8%,16.4%,16.7%,27.2%,11.3%,15.3%,18.5%,17.0%,22.8%,
2012,1.4%,2.1%,8.3%,-4.8%,2.6%,3.4%,9.3%,-4.9%,-4.4%,-4.5%,2.8%,9.0%,-4.5%,
2013,15.8%,17.9%,21.9%,5.0%,14.6%,13.7%,19.5%,6.7%,3.9%,4.3%,11.9%,17.6%,4.3%,
2014,-10.8%,-11.0%,-11.0%,-10.8%,-8.1%,-7.0%,-8.5%,-8.5%,1.0%,-3.5%,-1.7%,-1.7%,-3.5%,
2015,-1.7%,1.6%,4.7%,14.8%,-1.4%,1.1%,2.6%,14.8%,-0.0%,0.6%,1.5%,27.4%,33.1%,
2016,10.4%,10.4%,10.2%,10.4%,11.6%,11.6%,11.4%,11.6%,,12.9%,17.9%,-0.6%,-0.4%,
2017,-8.6%,-8.6%,-9.1%,-8.6%,-7.6%,-7.6%,-8.0%,-7.6%,26.2%,-18.1%,-13.4%,-14.2%,-13.4%,
2018,10.1%,11.0%,14.7%,25.1%,10.2%,10.7%,15.1%,23.0%,6.6%,17.7%,10.2%,15.3%,25.5%,
2019,3.8%,3.8%,-7.3%,-8.0%,3.7%,3.7%,-6.9%,-7.0%,-7.7%,-7.8%,4.1%,-7.2%,-7.8%,
2020,5.9%,5.9%,13.4%,8.7%,6.8%,6.8%,14.4%,9.4%,10.0%,8.9%,6.2%,13.6%,8.9%,
累计收益,11.6%,23.5%,35.9%,64.2%,-0.9%,0.1%,14.9%,40.9%,156.1%,120.4%,70.3%,51.0%,72.0%,
