sz159905,深红利
year,每周根据深圳指数市盈率倍数购买，超过60倍卖出,每周根据深圳指数市盈率4分位购买，超过50倍卖出,每周根据深圳指数市盈率4分位购买，赚6%卖出,每周根据深圳指数市盈率4分位购买，赚10%卖出,每周根据深圳指数市盈率4分位购买，赚20%卖出
2011,43.1%,41.3%,21.3%,27.8%,43.0%,
2012,-5.4%,-5.5%,1.4%,7.1%,-5.6%,
2013,3.9%,4.0%,9.3%,11.8%,4.5%,
2014,1.5%,-2.9%,-2.9%,-2.9%,-23.8%,
2015,-0.0%,0.7%,46.2%,52.4%,8.6%,
2016,,10.9%,-16.4%,-16.4%,-17.0%,
2017,7.8%,-33.3%,-22.0%,-21.6%,-33.3%,
2018,-0.8%,28.6%,34.6%,39.4%,28.6%,
2019,-30.9%,-31.2%,-31.2%,-31.2%,-31.2%,
2020,0.5%,-2.0%,-2.0%,-2.0%,-2.0%,
累计收益,25.9%,14.3%,17.2%,28.1%,1.5%,
